Thanatite_Crystal_Seed   ,Scorched_Core          ,       49995 ,                 5 ,           1 ,         1 ,7QEyLxdgb4PnDaw1 
Crystal                  ,Thanatite_Crystal_Seed ,       19998 ,                 2 ,           5 ,         2 ,7QEyLxdgb4PnDaw1 
Pixels                   ,Crystal                ,     2439756 ,               122 ,           1 ,         3 ,7QEyLxdgb4PnDaw1 
Iron_Ore                 ,Thanatite_Crystal_Seed ,        9999 ,                 1 ,           5 ,         2 ,7QEyLxdgb4PnDaw1 
Pixels_2                 ,Iron_Ore               ,     1749825 ,               175 ,           1 ,         3 ,7QEyLxdgb4PnDaw1 
Core_Fragment            ,Thanatite_Crystal_Seed ,       19998 ,                 2 ,           5 ,         2 ,7QEyLxdgb4PnDaw1 
Pixels_3                 ,Core_Fragment          ,     4999500 ,               250 ,           1 ,         3 ,7QEyLxdgb4PnDaw1 
Block_of_Netherite       ,None                   ,          64 ,                 1 ,           1 ,         0 ,HmQRYeHFUsXbLySe 
Netherite_Ingot          ,Block_of_Netherite     ,         576 ,                 9 ,           1 ,         1 ,HmQRYeHFUsXbLySe 
Netherite_Scrap          ,Netherite_Ingot        ,        2304 ,                 4 ,           1 ,         2 ,HmQRYeHFUsXbLySe 
Ancient_Debris           ,Netherite_Scrap        ,        2304 ,                 1 ,           1 ,         3 ,HmQRYeHFUsXbLySe 
Gold_Ingot               ,Netherite_Ingot        ,        2304 ,                 4 ,           1 ,         2 ,HmQRYeHFUsXbLySe 
Gold_Ore                 ,Gold_Ingot             ,        2304 ,                 1 ,           1 ,         3 ,HmQRYeHFUsXbLySe 
Block_of_Emerald         ,None                   ,           1 ,                 1 ,           1 ,         0 ,ULA4cjmyKixtd68Q 
Emerald                  ,Block_of_Emerald       ,           9 ,                 9 ,           1 ,         1 ,ULA4cjmyKixtd68Q 
Stick                    ,Emerald                ,         288 ,                32 ,           1 ,         2 ,ULA4cjmyKixtd68Q 
Oak_Planks               ,Stick                  ,         144 ,                 2 ,           4 ,         3 ,ULA4cjmyKixtd68Q 
Oak_Wood                 ,Oak_Planks             ,          36 ,                 1 ,           4 ,         4 ,ULA4cjmyKixtd68Q 
Gold_Bar                 ,None                   ,           1 ,                 1 ,           1 ,         0 ,n72xQZNgV5Pa6KRu 
Gold_Ore                 ,Gold_Bar               ,           2 ,                 2 ,           1 ,         1 ,n72xQZNgV5Pa6KRu 
Pixels                   ,Gold_Ore               ,         400 ,               200 ,           1 ,         2 ,n72xQZNgV5Pa6KRu 
Diamonds                 ,None                   ,           0 ,                 1 ,           1 ,         0 ,QCMijcVxyDZseyx6 
Blaststone               ,Diamonds               ,           0 ,                 1 ,        1000 ,         1 ,QCMijcVxyDZseyx6 
Gelatinous_Stone         ,Blaststone             ,           0 ,                 1 ,           1 ,         2 ,QCMijcVxyDZseyx6 
Suplhuric_Acid           ,Blaststone             ,           0 ,                 1 ,           1 ,         2 ,QCMijcVxyDZseyx6 
Currentcorn              ,Suplhuric_Acid         ,           0 ,                 1 ,           1 ,         3 ,QCMijcVxyDZseyx6 
Cobblestone              ,Gelatinous_Stone       ,           0 ,                 1 ,           1 ,         4 ,QCMijcVxyDZseyx6 
Healing_Water            ,Gelatinous_Stone       ,           0 ,                 1 ,           1 ,         4 ,QCMijcVxyDZseyx6 
Morphite                 ,None                   ,        9999 ,                 1 ,           1 ,         0 ,6eTrOuww5CfYq1rI
Irradium_Bar             ,Morphite               ,        9999 ,                 1 ,           1 ,         1 ,6eTrOuww5CfYq1rI
Irradium_Ore             ,Irradium_Bar           ,       19998 ,                 2 ,           1 ,         2 ,6eTrOuww5CfYq1rI
Pixels                   ,Irradium_Ore           ,    11998800 ,               600 ,           1 ,         3 ,6eTrOuww5CfYq1rI
Liquid_Protocite         ,Morphite               ,        9999 ,                 1 ,           1 ,         1 ,6eTrOuww5CfYq1rI
Liquid_Protocite_B       ,Liquid_Protocite       ,        4999 ,                 1 ,           2 ,         2 ,6eTrOuww5CfYq1rI
Pus                      ,Liquid_Protocite       ,        4999 ,                 1 ,           2 ,         2 ,6eTrOuww5CfYq1rI
Blister_Sack             ,Pus                    ,        4999 ,                 1 ,           1 ,         3 ,6eTrOuww5CfYq1rI
Phase_Matter             ,Morphite               ,        9999 ,                 1 ,           1 ,         1 ,6eTrOuww5CfYq1rI
Pixels_B                 ,Phase_Matter           ,     1499850 ,               150 ,           1 ,         2 ,6eTrOuww5CfYq1rI
Sulphuric_Acid           ,Morphite               ,       19998 ,                 2 ,           1 ,         1 ,6eTrOuww5CfYq1rI
Whitespine               ,Sulphuric_Acid         ,        9999 ,                 1 ,           2 ,         2 ,6eTrOuww5CfYq1rI
